id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
9282,11:14,"Crime,Drama,Thriller,Mystery",en,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,8.886,2003-09-05,6.8,646
82687,The Guilt Trip,Comedy,en,An inventor and his mom hit the road together so he can sell his latest invention.,9.468,2012-12-19,5.6,580
352161,The Clan,"Drama,History,Crime",es,"In Argentina, between 1982 and 1985, the Puccios, a well-established family of San Isidro, an upper-class suburb of Buenos Aires, kidnap several people and hold them as hostages for a ransom.",7.814,2015-08-13,6.8,341
14055,Starter for 10,"Drama,Comedy,Romance",en,"In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching University Challenge, a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past.",7.825,2006-09-13,6.4,319
75612,Oblivion,"Action,Science Fiction,Adventure,Mystery",en,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",29.451,2013-04-10,6.6,9342
97370,Under the Skin,"Thriller,Science Fiction,Drama",en,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,18.899,2014-03-14,6.1,2839
611914,The Courier,"Crime,Action,Drama,Thriller",en,"This intense action-thriller unfolds in real time as two embattled souls fight for their lives. Gary Oldman stars as a vicious crime boss out to kill Nick, the lone witness set to testify against him. He hires a mysterious female motorcycle courier to unknowingly deliver a poison-gas bomb to slay Nick, but after she rescues Nick from certain death, the duo must confront an army of ruthless hired killers in order to survive the night.",25.968,2019-11-22,6.1,440
329712,The Measure of a Man,Drama,fr,"At the age of 51 and after 20 months on unemployment, Thierry starts a new job that soon brings him face to face with a moral dilemma. How much is he willing to accept to keep his job?",6.014,2015-03-16,6.5,287
390497,Tunnel,"Thriller,Drama,Action",ko,"A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped leaving himself for the unexpected whilst emergency services struggle to help.",9.268,2016-08-10,7.3,451
121642,Twice Born,"Drama,Romance,War",it,"Full-throttle melodrama about an ill-starred romance set against the backdrop of the siege of Sarajevo. A mother brings her teenage son to Sarajevo, where his father died in the Bosnian conflict years ago.",8.184,2012-09-13,7.3,397
258086,The Damned,"Thriller,Horror,Mystery",en,"After suffering the recent loss of his wife, David Reynolds decides to take his family on a cathartic trip to her home village in Columbia. While en route, they get into a car accident and seek refuge in a secluded inn. While there they find a mysterious young girl, Ana Maria, locked up with cryptic symbols painted on the walls of her cell. Shocked by the treatment of her caretaker, the family sets Ana free only to realize that she is possessed by an evil spirit from centuries past. What’s worse, the spirit can jump from person to person, creating a deadly dynamic amongst the once loving family. Now, David must figure out a way to lock the spirit up for good before it destroys him and his family.",8.752,2013-10-17,5.6,215
457955,The Night Eats the World,"Drama,Horror,Thriller",fr,"After waking up to find himself all alone in an apartment where a massive party was being held the night before, Sam is immediately forced to face a terrifying reality: the living dead have invaded the streets of Paris.",15.777,2018-03-07,6.0,503
5971,We're No Angels,"Comedy,Crime",en,Two escaped cons' only prayer to escape is to pass themselves off as priests and pass by the police blockade at the border into the safety of Canada.,6.544,1989-06-02,6.1,389
4348,Pride & Prejudice,"Drama,Romance",en,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",55.534,2005-09-16,8.1,6616
